perturbation,triage_2d,quality_label,pert_type,split
ATXN7L3,unmeasurable,unreliable,single,test
DOT1L,unmeasurable,unreliable,single,train
DOT1L+EP300,genuine_signal,genuine,double,train
DOT1L+FLI1,falsely_solved,trivial,double,test
DOT1L+GATA2,unmeasurable,unreliable,double,train
DOT1L+GFI1,falsely_solved,trivial,double,train
DOT1L+GSE1,falsely_solved,trivial,double,test
DOT1L+HDAC3,genuine_signal,genuine,double,train
DOT1L+IKZF1,unmeasurable,unreliable,double,train
DOT1L+INTS1,genuine_signal,genuine,double,test
DOT1L+KDM1A,falsely_solved,trivial,double,train
DOT1L+MED24,falsely_solved,trivial,double,train
DOT1L+RCOR1,unmeasurable,unreliable,double,train
DOT1L+RING1,falsely_solved,trivial,double,train
DOT1L+SMARCD1,falsely_solved,trivial,double,test
EP300,genuine_signal,genuine,single,train
EP300+FLI1,genuine_signal,genuine,double,train
EP300+GATA2,genuine_signal,genuine,double,test
EP300+GFI1,falsely_solved,trivial,double,train
EP300+GSE1,falsely_solved,trivial,double,train
EP300+HDAC3,genuine_signal,genuine,double,test
EP300+IKZF1,genuine_signal,genuine,double,train
EP300+INTS1,genuine_signal,genuine,double,test
EP300+KDM1A,falsely_solved,trivial,double,train
EP300+MED24,falsely_solved,trivial,double,train
EP300+MYB,genuine_signal,genuine,double,train
EP300+RCOR1,genuine_signal,genuine,double,train
EP300+RING1,genuine_signal,genuine,double,train
EP300+SMARCD1,genuine_signal,genuine,double,train
EP300+SSRP1,genuine_signal,genuine,double,train
FLI1,genuine_signal,genuine,single,test
FLI1+GATA2,falsely_solved,trivial,double,train
FLI1+GFI1,falsely_solved,trivial,double,test
FLI1+GSE1,falsely_solved,trivial,double,train
FLI1+HDAC3,falsely_solved,trivial,double,train
FLI1+IKZF1,falsely_solved,trivial,double,test
FLI1+INTS1,genuine_signal,genuine,double,test
FLI1+KDM1A,falsely_solved,trivial,double,train
FLI1+MED24,falsely_solved,trivial,double,test
FLI1+RCOR1,genuine_signal,genuine,double,train
FLI1+RING1,falsely_solved,trivial,double,train
FLI1+SMARCD1,falsely_solved,trivial,double,train
FLI1+SSRP1,falsely_solved,trivial,double,train
GATA2+GFI1,falsely_solved,trivial,double,train
GATA2+GSE1,falsely_solved,trivial,double,train
GATA2+HDAC3,genuine_signal,genuine,double,train
GATA2+IKZF1,unmeasurable,unreliable,double,train
GATA2+INTS1,genuine_signal,genuine,double,train
GATA2+KDM1A,falsely_solved,trivial,double,train
GATA2+MED24,falsely_solved,trivial,double,train
GATA2+RCOR1,unmeasurable,unreliable,double,train
GATA2+RING1,unmeasurable,unreliable,double,test
GATA2+SMARCD1,genuine_signal,genuine,double,test
GATA2+SSRP1,unmeasurable,unreliable,double,train
GFI1,falsely_solved,trivial,single,test
GFI1+GSE1,falsely_solved,trivial,double,train
GFI1+HDAC3,falsely_solved,trivial,double,train
GFI1+INTS1,genuine_signal,genuine,double,train
GFI1+KDM1A,falsely_solved,trivial,double,test
GFI1+MED24,falsely_solved,trivial,double,train
GFI1+RCOR1,falsely_solved,trivial,double,test
GFI1+RING1,falsely_solved,trivial,double,train
GFI1+SMARCD1,falsely_solved,trivial,double,train
GSE1,genuine_signal,genuine,single,train
GSE1+HDAC3,genuine_signal,genuine,double,train
GSE1+IKZF1,falsely_solved,trivial,double,train
GSE1+INTS1,genuine_signal,genuine,double,train
