perturbation,triage_2d,quality_label,pert_type,split
AIRE,genuine_signal,genuine,single,train
ASCL1,genuine_signal,genuine,single,test
ATF4,genuine_signal,genuine,single,test
ATF5,genuine_signal,genuine,single,test
BACH2,genuine_signal,genuine,single,train
CCDC51,genuine_signal,genuine,single,train
CDKN1A,genuine_signal,genuine,single,train
CDKN1B,genuine_signal,genuine,single,train
CEBPB,genuine_signal,genuine,single,train
COL2A1,genuine_signal,genuine,single,train
COX5A,genuine_signal,genuine,single,train
CREB1,genuine_signal,genuine,single,train
DDIT3,genuine_signal,genuine,single,train
DDIT4,genuine_signal,genuine,single,test
EIF2S1,genuine_signal,genuine,single,train
EOMES,genuine_signal,genuine,single,train
ETS2,genuine_signal,genuine,single,train
FOXC1,genuine_signal,genuine,single,test
FOXP3,genuine_signal,genuine,single,test
GATA3,genuine_signal,genuine,single,train
HHEX,genuine_signal,genuine,single,train
HIC2,genuine_signal,genuine,single,test
HIF1A,genuine_signal,genuine,single,test
HOXD13,genuine_signal,genuine,single,train
HSF1,genuine_signal,genuine,single,train
HSPA9,genuine_signal,genuine,single,train
HSPD1,genuine_signal,genuine,single,train
IGDCC3,genuine_signal,genuine,single,train
IRF1,genuine_signal,genuine,single,test
KLF1,genuine_signal,genuine,single,test
LHX4,genuine_signal,genuine,single,train
MAP2K3,genuine_signal,genuine,single,test
MAP2K6,genuine_signal,genuine,single,train
MAPK1,genuine_signal,genuine,single,train
MEIS2,genuine_signal,genuine,single,train
MTOR,genuine_signal,genuine,single,train
NEUROD1,genuine_signal,genuine,single,train
NEUROG2,genuine_signal,genuine,single,train
NPM1,genuine_signal,genuine,single,train
NRF1,genuine_signal,genuine,single,train
PISD,genuine_signal,genuine,single,train
PRTG,genuine_signal,genuine,single,train
PTPN1,genuine_signal,genuine,single,train
RANBP1,genuine_signal,genuine,single,train
RORA,genuine_signal,genuine,single,train
RPL30,genuine_signal,genuine,single,train
RPS18,genuine_signal,genuine,single,test
SET,genuine_signal,genuine,single,train
SPI1,genuine_signal,genuine,single,test
SREBF1,genuine_signal,genuine,single,train
TBX21,genuine_signal,genuine,single,train
TFAP4,genuine_signal,genuine,single,train
TIMM50,genuine_signal,genuine,single,train
TIPARP,genuine_signal,genuine,single,test
TLE3,genuine_signal,genuine,single,train
TMA7,genuine_signal,genuine,single,train
TTC6,genuine_signal,genuine,single,train
UPF1,genuine_signal,genuine,single,test
ZNF236,genuine_signal,genuine,single,train
ZNF296,genuine_signal,genuine,single,train
ZNF574,genuine_signal,genuine,single,train
