perturbation,triage_2d,quality_label,pert_type,split
AHR,falsely_solved,trivial,single,train
AHR+FEV,genuine_signal,genuine,double,train
AHR+KLF1,genuine_signal,genuine,double,test
ARID1A,falsely_solved,trivial,single,test
ARRDC3,genuine_signal,genuine,single,train
ATL1,falsely_solved,trivial,single,train
BAK1,genuine_signal,genuine,single,train
BAK1+BCL2L11,unmeasurable,unreliable,double,test
BAK1+KLF1,genuine_signal,genuine,double,train
BAK1+TMSB4X,genuine_signal,genuine,double,train
BCL2L11,unmeasurable,unreliable,single,train
BCL2L11+TGFBR2,genuine_signal,genuine,double,train
BCORL1,genuine_signal,genuine,single,train
BPGM,genuine_signal,genuine,single,train
BPGM+SAMD1,falsely_solved,trivial,double,test
BPGM+ZBTB1,genuine_signal,genuine,double,train
CBFA2T3,genuine_signal,genuine,single,train
CBFA2T3+FEV,genuine_signal,genuine,double,test
CBFA2T3+POU3F2,falsely_solved,trivial,double,train
CBFA2T3+PRDM1,falsely_solved,trivial,double,train
CBL,genuine_signal,genuine,single,train
CBL+CNN1,genuine_signal,genuine,double,train
CBL+PTPN12,genuine_signal,genuine,double,train
CBL+PTPN9,falsely_solved,trivial,double,train
CBL+TGFBR2,genuine_signal,genuine,double,train
CBL+UBASH3A,genuine_signal,genuine,double,train
CBL+UBASH3B,falsely_solved,trivial,double,train
CDKN1A,falsely_solved,trivial,single,train
CDKN1A+CDKN1B,falsely_solved,trivial,double,train
CDKN1A+CDKN1C,falsely_solved,trivial,double,train
CDKN1B,falsely_solved,trivial,single,train
CDKN1B+CDKN1C,falsely_solved,trivial,double,train
CDKN1C,falsely_solved,trivial,single,train
CEBPA,genuine_signal,genuine,single,train
CEBPA+CEBPB,genuine_signal,genuine,double,test
CEBPA+CEBPE,genuine_signal,genuine,double,train
CEBPA+JUN,genuine_signal,genuine,double,train
CEBPA+KLF1,genuine_signal,genuine,double,test
CEBPA+ZC3HAV1,genuine_signal,genuine,double,train
CEBPB,genuine_signal,genuine,single,test
CEBPB+CEBPE,genuine_signal,genuine,double,train
CEBPB+FOSB,genuine_signal,genuine,double,train
CEBPB+JUN,genuine_signal,genuine,double,train
CEBPB+LYL1,genuine_signal,genuine,double,train
CEBPB+MAPK1,genuine_signal,genuine,double,train
CEBPB+OSR2,genuine_signal,genuine,double,train
CEBPB+PTPN12,falsely_solved,trivial,double,test
CEBPE,genuine_signal,genuine,single,train
CEBPE+CNN1,genuine_signal,genuine,double,train
CEBPE+ETS2,genuine_signal,genuine,double,test
CEBPE+FOSB,genuine_signal,genuine,double,test
CEBPE+KLF1,genuine_signal,genuine,double,train
CEBPE+PTPN12,genuine_signal,genuine,double,train
CEBPE+RUNX1T1,genuine_signal,genuine,double,train
CEBPE+SET,genuine_signal,genuine,double,train
CEBPE+SPI1,genuine_signal,genuine,double,train
CEBPE+ZC3HAV1,genuine_signal,genuine,double,train
CELF2,genuine_signal,genuine,single,train
CITED1,falsely_solved,trivial,single,train
CKS1B,genuine_signal,genuine,single,test
CLDN6,genuine_signal,genuine,single,test
CLDN6+KLF1,genuine_signal,genuine,double,train
CNN1,genuine_signal,genuine,single,train
CNN1+ETS2,genuine_signal,genuine,double,train
CNN1+MAPK1,genuine_signal,genuine,double,train
CNN1+UBASH3A,falsely_solved,trivial,double,train
CNN1+UBASH3B,genuine_signal,genuine,double,train
CNNM4,genuine_signal,genuine,single,train
COL1A1,genuine_signal,genuine,single,test
COL2A1,genuine_signal,genuine,single,train
COL2A1+KLF1,genuine_signal,genuine,double,train
CSRNP1,genuine_signal,genuine,single,train
DLX2,genuine_signal,genuine,single,train
DLX2+SNAI1,genuine_signal,genuine,double,test
DLX2+ZBTB10,genuine_signal,genuine,double,test
DUSP9,genuine_signal,genuine,single,train
DUSP9+ETS2,genuine_signal,genuine,double,test
DUSP9+IGDCC3,genuine_signal,genuine,double,test
DUSP9+KLF1,genuine_signal,genuine,double,test
DUSP9+MAPK1,genuine_signal,genuine,double,train
DUSP9+PRTG,genuine_signal,genuine,double,train
DUSP9+SNAI1,falsely_solved,trivial,double,train
EGR1,falsely_solved,trivial,single,test
ETS2,genuine_signal,genuine,single,train
ETS2+IGDCC3,genuine_signal,genuine,double,test
ETS2+IKZF3,falsely_solved,trivial,double,train
ETS2+MAP7D1,genuine_signal,genuine,double,train
ETS2+MAPK1,genuine_signal,genuine,double,train
ETS2+PRTG,genuine_signal,genuine,double,train
ETS2+TGFBR2,genuine_signal,genuine,double,train
FEV,genuine_signal,genuine,single,test
FEV+ISL2,genuine_signal,genuine,double,train
FEV+MAP7D1,genuine_signal,genuine,double,test
FOSB,genuine_signal,genuine,single,test
FOSB+IKZF3,falsely_solved,trivial,double,train
FOSB+OSR2,genuine_signal,genuine,double,train
FOSB+PTPN12,genuine_signal,genuine,double,train
FOSB+UBASH3B,genuine_signal,genuine,double,train
FOXA1,genuine_signal,genuine,single,train
FOXA1+FOXA3,falsely_solved,trivial,double,train
FOXA1+FOXF1,falsely_solved,trivial,double,train
FOXA1+FOXL2,falsely_solved,trivial,double,train
FOXA1+HOXB9,falsely_solved,trivial,double,test
FOXA1+KLF1,genuine_signal,genuine,double,train
FOXA3,falsely_solved,trivial,single,train
FOXA3+FOXF1,falsely_solved,trivial,double,test
FOXA3+FOXL2,falsely_solved,trivial,double,test
FOXA3+HOXB9,falsely_solved,trivial,double,train
FOXF1,genuine_signal,genuine,single,train
