perturbation,triage_2d,quality_label,pert_type,split
AAAS,unmeasurable,unreliable,single,train
AARS2,unmeasurable,unreliable,single,train
AASDHPPT,unmeasurable,unreliable,single,test
ABCE1,genuine_signal,genuine,single,train
ABCF1,genuine_signal,genuine,single,test
ABHD11,unmeasurable,unreliable,single,train
ABHD17A,unmeasurable,unreliable,single,test
ACIN1,unmeasurable,unreliable,single,train
ACTB,genuine_signal,genuine,single,test
ACTR1A,unmeasurable,unreliable,single,train
ACTR1B,unmeasurable,unreliable,single,train
ACTR2,falsely_solved,trivial,single,test
ACTR6,genuine_signal,genuine,single,train
ACTR8,genuine_signal,genuine,single,train
ADAM10,genuine_signal,genuine,single,train
ADRM1,unmeasurable,unreliable,single,test
ADSL,unmeasurable,unreliable,single,train
AFG3L2,unmeasurable,unreliable,single,test
AHCTF1,falsely_solved,trivial,single,train
AHCY,unmeasurable,unreliable,single,train
AIFM1,unmeasurable,unreliable,single,train
ALDOA,falsely_solved,trivial,single,train
ALG1,unmeasurable,unreliable,single,train
ALG14,genuine_signal,genuine,single,train
ALG2,genuine_signal,genuine,single,test
ALYREF,unmeasurable,unreliable,single,train
ANAPC1,falsely_solved,trivial,single,test
ANAPC11,falsely_solved,trivial,single,train
ANAPC13,unmeasurable,unreliable,single,train
ANAPC15,unmeasurable,unreliable,single,train
ANKRD11,genuine_signal,genuine,single,test
ANKS6,unmeasurable,unreliable,single,train
AP2M1,unmeasurable,unreliable,single,train
AP2S1,unmeasurable,unreliable,single,train
ARCN1,falsely_solved,trivial,single,train
ARFRP1,unmeasurable,unreliable,single,train
ARGLU1,unmeasurable,unreliable,single,train
ARID5B,genuine_signal,genuine,single,train
ARIH1,unmeasurable,unreliable,single,train
ARL2,unmeasurable,unreliable,single,train
ARL4D,unmeasurable,unreliable,single,train
ARMC6,unmeasurable,unreliable,single,train
ARPC2,falsely_solved,trivial,single,train
ARPC3,unmeasurable,unreliable,single,train
ARPC4,falsely_solved,trivial,single,train
