perturbation,triage_2d,quality_label,pert_type,split
AHCYL1,unmeasurable,unreliable,single,train
AHCYL1+FDPS,unmeasurable,unreliable,double,train
ATM,unmeasurable,unreliable,single,train
ATM+FDPS,unmeasurable,unreliable,double,test
ATP5E,genuine_signal,genuine,single,train
ATR,genuine_signal,genuine,single,train
ATR+FDPS,genuine_signal,genuine,double,train
CAD,genuine_signal,genuine,single,train
CHEK1,unmeasurable,unreliable,single,train
CHEK1+FDPS,unmeasurable,unreliable,double,train
DUT,genuine_signal,genuine,single,train
ETAA1,unmeasurable,unreliable,single,test
ETAA1+FDPS,falsely_solved,trivial,double,train
ETAA1+TOPBP1,unmeasurable,unreliable,double,train
FDPS,falsely_solved,trivial,single,train
FDPS+HMGCR,genuine_signal,genuine,double,train
FDPS+HUS1,falsely_solved,trivial,double,train
FDPS+IDI1,falsely_solved,trivial,double,test
FDPS+LIG4,unmeasurable,unreliable,double,test
FDPS+MVD,genuine_signal,genuine,double,train
FDPS+NHEJ1,unmeasurable,unreliable,double,train
FDPS+PMVK,genuine_signal,genuine,double,train
FDPS+PRKDC,genuine_signal,genuine,double,train
FDPS+RAD1,unmeasurable,unreliable,double,train
FDPS+RAD17,falsely_solved,trivial,double,test
FDPS+RAD9A,falsely_solved,trivial,double,train
FDPS+RRM1,falsely_solved,trivial,double,train
FDPS+RRM2B,falsely_solved,trivial,double,train
FDPS+SQLE,genuine_signal,genuine,double,test
FDPS+SREBF1,falsely_solved,trivial,double,train
FDPS+SREBF2,genuine_signal,genuine,double,train
FDPS+TOPBP1,unmeasurable,unreliable,double,train
FDPS+XRCC5,genuine_signal,genuine,double,test
FDPS+XRCC6,genuine_signal,genuine,double,test
HMGCR,genuine_signal,genuine,single,test
HMGCR+HUS1,genuine_signal,genuine,double,train
HMGCR+SREBF1,genuine_signal,genuine,double,test
HMGCR+SREBF2,genuine_signal,genuine,double,train
HSPA5,genuine_signal,genuine,single,train
HSPE1,genuine_signal,genuine,single,train
HUS1,genuine_signal,genuine,single,test
HUS1+IDI1,falsely_solved,trivial,double,train
HUS1+MVD,falsely_solved,trivial,double,train
HUS1+PMVK,genuine_signal,genuine,double,train
HUS1+RRM1,genuine_signal,genuine,double,train
HUS1+SQLE,genuine_signal,genuine,double,train
HUS1+SREBF1,falsely_solved,trivial,double,test
HUS1+SREBF2,genuine_signal,genuine,double,train
IDI1,genuine_signal,genuine,single,train
LIG4,unmeasurable,unreliable,single,train
MTOR,genuine_signal,genuine,single,train
MVD,genuine_signal,genuine,single,test
NHEJ1,unmeasurable,unreliable,single,train
PMVK,unmeasurable,unreliable,single,test
POLR1D,genuine_signal,genuine,single,test
PRKDC,unmeasurable,unreliable,single,train
RAD1,unmeasurable,unreliable,single,train
RAD17,unmeasurable,unreliable,single,train
RAD9A,genuine_signal,genuine,single,train
RPL15,unmeasurable,unreliable,single,test
RPS18,unmeasurable,unreliable,single,test
RRM1,genuine_signal,genuine,single,train
RRM2B,unmeasurable,unreliable,single,train
SQLE,genuine_signal,genuine,single,train
SREBF1,genuine_signal,genuine,single,train
SREBF2,genuine_signal,genuine,single,train
TOPBP1,unmeasurable,unreliable,single,train
XRCC5,genuine_signal,genuine,single,test
XRCC6,genuine_signal,genuine,single,train
