perturbation,triage_2d,quality_label,pert_type,split
AMIGO3,unmeasurable,unreliable,single,test
ARHGAP22,genuine_signal,genuine,single,train
ASCC3,genuine_signal,genuine,single,train
ATF4,unmeasurable,unreliable,single,train
CAD,genuine_signal,genuine,single,test
CCND3,genuine_signal,genuine,single,test
CHERP,genuine_signal,genuine,single,train
COPB1,genuine_signal,genuine,single,train
COPZ1,falsely_solved,trivial,single,train
DAD1,genuine_signal,genuine,single,train
DDOST,genuine_signal,genuine,single,train
DDRGK1,genuine_signal,genuine,single,train
DERL2,genuine_signal,genuine,single,train
DHDDS,falsely_solved,trivial,single,test
DNAJC19,falsely_solved,trivial,single,test
EIF2AK3,genuine_signal,genuine,single,test
EIF2B2,falsely_solved,trivial,single,train
EIF2B3,falsely_solved,trivial,single,train
EIF2B4,falsely_solved,trivial,single,test
EIF2S1,falsely_solved,trivial,single,test
ERN1,unmeasurable,unreliable,single,train
FARSB,falsely_solved,trivial,single,train
FECH,genuine_signal,genuine,single,train
GBF1,falsely_solved,trivial,single,train
GMPPB,unmeasurable,unreliable,single,train
GNPNAT1,unmeasurable,unreliable,single,train
HSD17B12,genuine_signal,genuine,single,test
HSPA5,falsely_solved,trivial,single,train
HSPA9,falsely_solved,trivial,single,train
HYOU1,unmeasurable,unreliable,single,test
IARS2,falsely_solved,trivial,single,train
IDH3A,genuine_signal,genuine,single,train
KCTD16,unmeasurable,unreliable,single,train
MANF,unmeasurable,unreliable,single,train
MRGBP,genuine_signal,genuine,single,train
MRPL39,genuine_signal,genuine,single,train
MTHFD1,genuine_signal,genuine,single,test
NEDD8,genuine_signal,genuine,single,train
OST4,genuine_signal,genuine,single,train
P4HB,genuine_signal,genuine,single,test
PDIA6,genuine_signal,genuine,single,train
PPWD1,genuine_signal,genuine,single,train
PSMA1,unmeasurable,unreliable,single,test
PSMD12,unmeasurable,unreliable,single,train
PSMD4,genuine_signal,genuine,single,train
PTDSS1,unmeasurable,unreliable,single,train
SAMM50,genuine_signal,genuine,single,test
SCYL1,genuine_signal,genuine,single,train
SEC61A1,falsely_solved,trivial,single,train
SEC61B,genuine_signal,genuine,single,train
SEC61G,genuine_signal,genuine,single,test
SEC63,unmeasurable,unreliable,single,train
SEL1L,genuine_signal,genuine,single,train
SLC35B1,unmeasurable,unreliable,single,test
SLC39A7,genuine_signal,genuine,single,train
SOCS1,genuine_signal,genuine,single,train
SPCS2,genuine_signal,genuine,single,train
SPCS3,falsely_solved,trivial,single,train
SRP68,genuine_signal,genuine,single,train
SRP72,genuine_signal,genuine,single,train
SRPRB,genuine_signal,genuine,single,train
STT3A,unmeasurable,unreliable,single,train
SYVN1,genuine_signal,genuine,single,test
TELO2,genuine_signal,genuine,single,train
TIMM23,genuine_signal,genuine,single,train
TIMM44,falsely_solved,trivial,single,train
TMED10,genuine_signal,genuine,single,train
TMED2,genuine_signal,genuine,single,test
TMEM167A,genuine_signal,genuine,single,train
TTI1,genuine_signal,genuine,single,train
TTI2,unmeasurable,unreliable,single,train
UFL1,genuine_signal,genuine,single,train
UFM1,genuine_signal,genuine,single,train
XBP1,unmeasurable,unreliable,single,train
XRN1,genuine_signal,genuine,single,train
YIPF5,genuine_signal,genuine,single,test
