perturbation,triage_2d,quality_label,pert_type,split
ABCB10,genuine_signal,genuine,single,test
AKAP12,genuine_signal,genuine,single,test
ALX4,genuine_signal,genuine,single,train
APOBEC3C,genuine_signal,genuine,single,train
APOBEC3D,genuine_signal,genuine,single,train
APOL2,genuine_signal,genuine,single,train
ARHGDIB,genuine_signal,genuine,single,train
ARHGDIB+TNFRSF1A,unmeasurable,unreliable,double,train
CBY1,unmeasurable,unreliable,single,test
CBY1+EMP3,unmeasurable,unreliable,double,train
CBY1+GRAP,unmeasurable,unreliable,double,train
CBY1+LCP2,unmeasurable,unreliable,double,train
CBY1+PRKD2,unmeasurable,unreliable,double,train
CBY1+TRIM21,unmeasurable,unreliable,double,train
CD2,genuine_signal,genuine,single,train
CD2+EMP3,unmeasurable,unreliable,double,train
CD2+MUC1,unmeasurable,unreliable,double,train
CD2+TRAF3IP2,unmeasurable,unreliable,double,train
CD247,genuine_signal,genuine,single,train
CD27,genuine_signal,genuine,single,train
CD27+CNR2,unmeasurable,unreliable,double,train
CD27+EMP3,unmeasurable,unreliable,double,test
CD27+GRAP,unmeasurable,unreliable,double,train
CD27+IL1R1,unmeasurable,unreliable,double,test
CD27+IL2RB,unmeasurable,unreliable,double,test
CD27+IL2RG,unmeasurable,unreliable,double,train
CD27+IL9R,unmeasurable,unreliable,double,test
CD27+LAT,unmeasurable,unreliable,double,train
CD27+LAT2,unmeasurable,unreliable,double,train
CD27+MUC1,unmeasurable,unreliable,double,test
CD27+NOTCH1,unmeasurable,unreliable,double,train
CD27+PIK3AP1,unmeasurable,unreliable,double,train
CD27+PRKD2,unmeasurable,unreliable,double,train
CD27+TRAF3IP2,unmeasurable,unreliable,double,train
CD27+VAV1,unmeasurable,unreliable,double,test
CD28,genuine_signal,genuine,single,test
CEACAM1,genuine_signal,genuine,single,train
CNR2,genuine_signal,genuine,single,train
CNR2+EMP3,unmeasurable,unreliable,double,test
CNR2+LAT2,unmeasurable,unreliable,double,train
CNR2+PLCG2,unmeasurable,unreliable,double,test
CNR2+TRAF3IP2,unmeasurable,unreliable,double,train
DEF6,genuine_signal,genuine,single,test
DEPDC7,genuine_signal,genuine,single,train
EMP1,genuine_signal,genuine,single,train
EMP1+EMP3,unmeasurable,unreliable,double,test
EMP1+TAGAP,unmeasurable,unreliable,double,test
EMP1+TNFRSF1B,unmeasurable,unreliable,double,train
EMP3,genuine_signal,genuine,single,train
EMP3+GRAP,unmeasurable,unreliable,double,test
EMP3+IL2RB,unmeasurable,unreliable,double,train
EMP3+IL2RG,unmeasurable,unreliable,double,train
EMP3+JMJD1C,unmeasurable,unreliable,double,train
EMP3+LAT2,unmeasurable,unreliable,double,train
EMP3+LCP2,unmeasurable,unreliable,double,train
EMP3+MAP4K1,unmeasurable,unreliable,double,train
EMP3+MUC1,unmeasurable,unreliable,double,train
EMP3+P2RY14,unmeasurable,unreliable,double,test
EMP3+PRKD2,unmeasurable,unreliable,double,test
EMP3+TAGAP,unmeasurable,unreliable,double,test
EMP3+TBX21,unmeasurable,unreliable,double,train
EMP3+TNFRSF1A,unmeasurable,unreliable,double,train
EMP3+TNFRSF1B,unmeasurable,unreliable,double,train
EMP3+TNFRSF9,unmeasurable,unreliable,double,train
EMP3+TRAF3IP2,unmeasurable,unreliable,double,train
EMP3+VAV1,unmeasurable,unreliable,double,train
EOMES,genuine_signal,genuine,single,train
FOSB,genuine_signal,genuine,single,train
FOSL1,genuine_signal,genuine,single,train
FOXD2,genuine_signal,genuine,single,train
FOXQ1,genuine_signal,genuine,single,train
FOXQ1+TNFRSF1A,unmeasurable,unreliable,double,train
GATA3,genuine_signal,genuine,single,train
GRAP,genuine_signal,genuine,single,test
GRAP+LTBR,unmeasurable,unreliable,double,train
GRAP+PRKD2,unmeasurable,unreliable,double,train
GRAP+TNFRSF1A,unmeasurable,unreliable,double,train
HELZ2,genuine_signal,genuine,single,train
IKZF3,genuine_signal,genuine,single,test
IL1R1,genuine_signal,genuine,single,train
IL1R1+TNFRSF1B,genuine_signal,genuine,double,train
IL2RB,genuine_signal,genuine,single,train
IL2RG,genuine_signal,genuine,single,train
IL2RG+TRAF3IP2,unmeasurable,unreliable,double,test
IL9R,genuine_signal,genuine,single,train
IL9R+TNFRSF1A,unmeasurable,unreliable,double,train
IL9R+TNFRSF1B,unmeasurable,unreliable,double,test
INPPL1,genuine_signal,genuine,single,train
ITPKA,genuine_signal,genuine,single,train
JMJD1C,genuine_signal,genuine,single,train
JMJD1C+TNFRSF1B,unmeasurable,unreliable,double,test
JMJD1C+TRAF3IP2,unmeasurable,unreliable,double,train
LAT,genuine_signal,genuine,single,train
LAT2,genuine_signal,genuine,single,train
LAT2+PLCG2,unmeasurable,unreliable,double,train
LAT2+TNFRSF1B,unmeasurable,unreliable,double,train
LCP2,genuine_signal,genuine,single,train
LHX4,genuine_signal,genuine,single,test
LHX6,genuine_signal,genuine,single,test
LHX6+NOTCH1,unmeasurable,unreliable,double,train
LTBR,genuine_signal,genuine,single,train
MAP4K1,genuine_signal,genuine,single,train
MGST3,genuine_signal,genuine,single,train
MGST3+TRIM21,unmeasurable,unreliable,double,train
MUC1,genuine_signal,genuine,single,train
MUC1+NOTCH1,unmeasurable,unreliable,double,train
MUC1+TNFRSF1A,unmeasurable,unreliable,double,train
MUC1+TRIM21,unmeasurable,unreliable,double,train
NOTCH1,genuine_signal,genuine,single,train
NOTCH1+TNFRSF1A,unmeasurable,unreliable,double,train
OTUD7A,unmeasurable,unreliable,single,train
OTUD7B,genuine_signal,genuine,single,test
P2RY14,unmeasurable,unreliable,single,train
P2RY14+TRAF3IP2,unmeasurable,unreliable,double,train
PAPOLG,genuine_signal,genuine,single,train
PIK3AP1,genuine_signal,genuine,single,train
PLCG2,genuine_signal,genuine,single,train
PLCG2+TNFRSF1A,unmeasurable,unreliable,double,train
PLCG2+TRAF3IP2,unmeasurable,unreliable,double,train
PRDM1,unmeasurable,unreliable,single,train
PRDM13,genuine_signal,genuine,single,train
PRKD2,unmeasurable,unreliable,single,test
PRKD2+TNFRSF1A,unmeasurable,unreliable,double,train
PRKD2+TNFRSF1B,unmeasurable,unreliable,double,train
PRKD2+TRAF3IP2,unmeasurable,unreliable,double,train
PRKD2+TRIM21,unmeasurable,unreliable,double,train
PRKD2+VAV1,unmeasurable,unreliable,double,train
RAC2,genuine_signal,genuine,single,train
RELA,genuine_signal,genuine,single,train
SLA2,genuine_signal,genuine,single,test
TAGAP,falsely_solved,trivial,single,train
TAGAP+TRAF3IP2,unmeasurable,unreliable,double,test
TBX21,genuine_signal,genuine,single,train
TCF7,genuine_signal,genuine,single,train
TNFRSF12A,genuine_signal,genuine,single,test
